time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-02-25T19:05:01.530Z,-6.2481,143.1622,34.31,4.6,mb,,79,5.051,0.81,us,us2000d7rl,2018-02-25T20:58:54.040Z,"54km W of Mendi, Papua New Guinea",earthquake,10.9,6.9,0.112,24,reviewed,us,us
2018-02-25T18:54:18.650Z,-6.407,143.4283,35,4.9,mb,,53,4.746,0.71,us,us2000d7rh,2018-02-25T20:56:06.040Z,"35km SW of Mendi, Papua New Guinea",earthquake,8.7,2,0.077,53,reviewed,us,us
2018-02-25T18:47:18.160Z,-6.0589,142.924,35,5,mb,,76,5.354,0.79,us,us2000d7rq,2018-02-27T01:36:22.751Z,"72km SSW of Porgera, Papua New Guinea",earthquake,9.4,2,0.064,79,reviewed,us,us
2018-02-25T18:28:39.050Z,24.3781,122.0889,10,5,mb,,99,0.494,0.66,us,us2000d7r8,2018-02-26T12:58:52.202Z,"34km SE of Su'ao, Taiwan",earthquake,2.8,1.9,0.098,33,reviewed,us,us
2018-02-25T18:26:14.190Z,-6.433,143.4862,35,5.4,mb,,29,4.685,0.82,us,us2000d7rc,2018-02-27T01:36:30.109Z,"33km SSW of Mendi, Papua New Guinea",earthquake,8.3,2,0.079,55,reviewed,us,us
2018-02-25T18:11:34.650Z,-5.7603,142.2443,38.97,5.5,mb,,48,6.303,1.09,us,us2000d7r4,2018-02-25T20:15:02.997Z,"110km WSW of Porgera, Papua New Guinea",earthquake,8.8,7.4,0.084,49,reviewed,us,us
2018-02-25T17:44:44.380Z,-6.1488,142.7663,35,7.5,mww,,30,5.423,1.16,us,us2000d7q6,2018-03-01T04:51:59.061Z,"89km SSW of Porgera, Papua New Guinea",earthquake,7.1,1.9,0.071,19,reviewed,us,us
2018-02-25T16:36:01.640Z,27.515,52.4612,10,4.6,mb,,113,4.224,0.6,us,us2000d7px,2018-02-26T06:16:29.391Z,"147km S of Firuzabad, Iran",earthquake,9.5,1.7,0.142,21,reviewed,us,us
2018-02-25T16:28:39.510Z,37.5905,141.7455,30.77,5.6,mww,,60,0.807,0.66,us,us2000d7pu,2018-02-27T12:01:20.933Z,"66km E of Namie, Japan",earthquake,6.6,3.8,0.073,18,reviewed,us,us
2018-02-25T15:21:15.250Z,38.574,25.5816,10.71,4.5,mb,,41,2.346,0.58,us,us2000d7pi,2018-02-25T15:56:29.040Z,"48km WNW of Lagkada, Greece",earthquake,5.9,5.7,0.145,17,reviewed,us,us
2018-02-25T14:41:30.030Z,-21.0123,-178.7933,589.36,4.6,mb,,49,8.553,0.79,us,us2000d7pc,2018-02-25T15:28:35.040Z,"41km SSW of Ndoi Island, Fiji",earthquake,10.7,6.3,0.051,115,reviewed,us,us
2018-02-25T14:25:40.360Z,18.8571,145.5881,221.47,4.6,mb,,100,3.601,0.89,us,us2000d7p5,2018-02-25T15:12:44.040Z,"12km NW of Agrihan, Northern Mariana Islands",earthquake,8.7,7.8,0.039,196,reviewed,us,us
2018-02-25T12:51:39.740Z,15.5253,-94.3615,53.62,4.7,mb,,165,2.268,1.03,us,us2000d7nh,2018-02-25T13:13:02.040Z,"77km SW of Paredon, Mexico",earthquake,7.9,7.9,0.055,101,reviewed,us,us
